Review Date,Author Name,Comment
3/1/24,a*****n,"Quality:Good packaging nice
Taste:Sedap

second purchase after battle di live tt. kalini beli 6 pax terus standby utk sahur di bulan ramadhan 😍. definitely will repeat soon"
3/5/24,f*****e,"Quality:high quality
Taste:scrumptious

dendeng dah sampai haritu baru sempat nak review hehe sedapp sangat, dendeng ni tak pedas sangat pun, dalam 3/10 je pedasnya sebab nk semua orang boleh makan kan.. testure daging lembut je senang nak kunyah, nak sediakan pun senang, kalau beli untuk bawak pegi camping pun sesuai ni, yg penting sedap dan murah, hehe first time berperang alhamdulillah dapat, btw kad tu comel ye kito suko 🥰🙏🏻🙏🏻"
2/19/24,irasweetz,"Quality:Good
Taste:Sedap dooh.. sedap sangat2

Rasa secukupnyaa.. Memang sedap.. Xpedas sangat.. Daging hancur.. Kali kedua battle.. Alhamdulillah rezeki.. Nanti boleh buat stok bersahur bulan Ramadhan xlama lagi.. Tq KA ❤🥰"
2/25/24,syafiqahmdamin,"Quality:good
Taste:nice

Semua ok sampak pon cepat xde la lambat sampai seminggu ke..kurang pedas ank umur setahun setengah pon blh makan..walupon kinta air juga but still blh makan.."
3/20/24,a*****3,"Taste:sedap
Quality:bagus

Sedap. For me dendeng mmg tak perlu pedas sgt.Nak pedas makan sambal nyet. Nice combination dgn nasi putih panas plus telur goreng nyumm menambah selera sahur dbulan ramadhan ni."
2/22/24,itsmeanis19,"Quality:very good
Taste:very good

Sedap!!!!!

Original recipe KA. Tak pedas sangat. Just nice.

Packaging user friendly. Cuma kalau dah buka kena makan sampai habis. Tapi nak simpan dalam peti ais pun ok.

Definitely will repeat."
2/24/24,adrinaanis,"Taste:Sedap do'oh
Quality:Just nice!

To KA and bakal pembeli, dendeng ni sedap, tak over melebih sangat atau terkurang. Just nice. Pedas pedas manja, daging lembut. Ikut hati memang boleh habis 1 packet tu sekali makan, tapi kena sabar hahaha Alhamdulillah settle dalam 2 kali makan. Sedap 5/5 ✨"
2/27/24,a*****i,"Quality:great
Taste:sangat sedap

Jon beli 2nd batch punya. Surprisingly kuantiti dia banyak boleh makan 3/4 kali untuk 1 pack. Okay je texture daging berderai lagi senang untuk makan. Manis masin cukup bila makan dengan nasi/roti kalau ratah je memang rasa sedikit manis dan masin. Pedas pun manja manja hujung lidah je 2/10. Kalau dapat geng dengan sambal nyet mesti lagi power. Tak berminyak sangat. Overall semua balance kecuali rasa/bau limau purut tu sedikit overpower. Tapi sumpah sedap memang tak rugi battle. Sesuai beli buat stok untuk sahur nanti."
2/25/24,d*****9,"Quality:High quality
Taste:Sedap, sapa kata tak pedas, pedas yaa. Tapi rasanya secukup rasa betul

Berjaya jgk battle laju2 first lauching dendeng nyet di shopee, sbb kitonyo xdok tiktok. Nanti sy update rasa semua kt sini after bukak. Thank u aming pantas sekali post dendeng nyet. Bubble wrap tebal secure 🫶🏻"
3/21/24,eynahaneyna,"Quality:ok
Taste:ok

cepat gile sampai wpon dari kota bharu..
battle dlm shopee baru berjaya..
tq sedap bila mkn dgn nasi..
Dh upgrade ada pedas sikit jela..
ok sgt rasa dia, cuma xboleh meratah coz a bit salty..
tq ming moga terus berjaya ankmuda malaysia 🤲🏻"
2/29/24,y*****e,"Taste:A bit sweet. Spiciness level 3/10 for me

Fast delivery. Tip top packaging with a few layers of bubble wrap. Received in good condition. Thank you seller 😊"
2/22/24,hrcx87,"Quality:berbaloi dgn harga
Taste:sis sukaaa

sis suka. so akan beli lagi. ada rasa masin, manis, pedas dgn bau limau purut yg tk berapa nk kuat sgt. tekstur daging hancur. sis suka mcm ni. senang nk kunyah. tp mak sis suka daging seketul2. lembut tp still rasa texture daging. pastu rasa dia basah. bukan kering mcm dendeng biasa. pedas tapi tak pedas sgt. bdk2 boleh makan. utk sis just nice je. 

konklusi nya, taste bud tiap orang beza2."
